project_id,name,url,category,subcategory,location,status,goal,pledged,funded_percentage,backers,funded_date,levels,reward_levels,updates,comments,duration
328182737,"2010 Iditarod Musher Emil Churchin, 1049 Mile Sled Dog Race from Anchorage to Nome",http://www.kickstarter.com/projects/615034288/2010-iditarod-musher-emil-churchin-1049-mile-sled,Games,Board & Card Games,"Anchorage, AK",failed,5000.0,0.0,0.0,0,2010-04-19 17:30:00+00:00,2,"$250,$500",0,0,88.91
328725327,Off Your Rocker: The Party Game of Quirky Insanity!,http://www.kickstarter.com/projects/stratusgames/off-your-rocker-the-party-game-of-quirky-insanity,Games,Board & Card Games,"Tucson, AZ",successful,10000.0,10415.0,1.04153,182,2012-05-22 02:00:00+00:00,14,"$5,$20,$30,$35,$45,$60,$70,$75,$100,$100,$125,$200,$400,$3,000",12,41,45.29
339539913,Funding the Dream Podcast,http://www.kickstarter.com/projects/richardbliss/funding-the-dream-podcast,Games,Board & Card Games,"San Jose, CA",successful,4150.0,7340.0,1.768674699,98,2012-03-04 05:38:00+00:00,8,"$5,$15,$35,$100,$250,$250,$500,$1,200",12,34,25.21
343096563,"Shadow Days - Fantasy, Deckbuilding, Combat &amp; Survival",http://www.kickstarter.com/projects/blackteastudios/shadow-days-fantasy-deckbuilding-combat-and-surviv-0,Games,Board & Card Games,"Columbia, MD",successful,7000.0,20272.0,2.895977143,473,2012-04-24 04:23:35+00:00,9,"$5,$25,$35,$45,$55,$85,$125,$200,$500",40,130,59.96
344466906,Rock Paper Scissors Lizard Spock Dice,http://www.kickstarter.com/projects/38624063/rock-paper-scissors-lizard-spock-dice,Games,Board & Card Games,"Salt Lake City, UT",live,2000.0,3128.0,1.5642,120,2012-06-24 22:59:45+00:00,6,"$1,$6,$10,$20,$35,$50",4,12,30.0
352734715,Warparty,http://www.kickstarter.com/projects/1408460255/warparty,Games,Board & Card Games,"Blue Ridge, VA",successful,8000.0,13260.0,1.6575,167,2011-12-02 15:14:54+00:00,9,"$20,$63,$89,$105,$148,$300,$650,$1,850,$2,150",25,32,60.04
356350986,Bicycle Eclipse Playing Cards By: Hidden Mirrors,http://www.kickstarter.com/projects/juangperez/bicycle-eclipse-playing-cards-by-hidden-mirrors,Games,Board & Card Games,"Pennsauken, NJ",live,10000.0,8830.0,0.883001,155,2012-06-05 19:41:45+00:00,21,"$1,$10,$18,$24,$26,$32,$35,$35,$45,$52,$75,$90,$100,$168,$195,$250,$300,$324,$950,$1,050,$1,385",7,7,35.0
365054456,Altercation: Card Slinging Action Game (first run),http://www.kickstarter.com/projects/1015039221/altercation-card-slinging-action-game-first-run,Games,Board & Card Games,"Simi Valley, CA",failed,2000.0,218.0,0.109,5,2011-12-03 01:15:31+00:00,4,"$10,$25,$50,$100",2,0,30.04
367244408,Say Anything,http://www.kickstarter.com/projects/jerice50/say-anything,Games,Board & Card Games,"Lyme, NH",failed,8850.0,360.0,0.040677966,3,2011-02-25 01:23:15+00:00,7,"$1,$10,$100,$250,$750,$1,250,$3,500",1,4,30.0
368313919,&quot;CHUM&quot;  or &quot;CHUMPED&quot; - THE GAME!,http://www.kickstarter.com/projects/1786028604/the-chump-game,Games,Board & Card Games,"Jupiter, FL",failed,35000.0,325.0,0.009285714,1,2012-01-22 16:06:51+00:00,7,"$5,$15,$35,$50,$325,$500,$1,000",1,0,40.0
